time,id,x,y,angle,type,speed,pos,lane,slope
0.35,E_CAV1.0,72.45,38.8,90.0,E_CAV,12.39,72.45,E4_1,0.0
0.35,E_CAV2.0,93.71,45.2,90.0,E_CAV,12.6,93.71,E4_3,0.0
0.35,E_CAV3.0,113.7,38.8,90.0,E_CAV,12.57,113.7,E4_1,0.0
0.35,E_CAV4.0,128.69,45.2,90.0,E_CAV,12.54,128.69,E4_3,0.0
0.4,A_CAV0,18.78,35.6,90.0,A_CAV,9.8,18.78,E4_0,0.0
0.4,A_CAV1,39.57,35.6,90.0,A_CAV,11.79,39.57,E4_0,0.0
0.4,A_CAV10,84.57,48.4,90.0,A_CAV,11.72,84.57,E4_4,0.0
0.4,A_CAV4,28.77,42.0,90.0,A_CAV,9.74,28.77,E4_2,0.0
0.4,A_CAV8,63.77,45.2,90.0,A_CAV,9.76,63.77,E4_3,0.0
0.4,A_CAV9,53.76,48.4,90.0,A_CAV,9.7,53.76,E4_4,0.0
0.4,E_CAV0.0,49.97,38.8,90.0,E_CAV,12.68,49.97,E4_1,0.0
0.4,E_CAV1.0,73.07,38.8,90.0,E_CAV,12.47,73.07,E4_1,0.0
0.4,E_CAV2.0,94.34,45.2,90.0,E_CAV,12.7,94.34,E4_3,0.0
0.4,E_CAV3.0,114.33,38.8,90.0,E_CAV,12.67,114.33,E4_1,0.0
0.4,E_CAV4.0,129.32,45.2,90.0,E_CAV,12.62,129.32,E4_3,0.0
0.45,A_CAV0,19.27,35.6,90.0,A_CAV,9.88,19.27,E4_0,0.0
0.45,A_CAV1,40.17,35.6,90.0,A_CAV,11.92,40.17,E4_0,0.0
0.45,A_CAV10,85.16,48.4,90.0,A_CAV,11.79,85.16,E4_4,0.0
0.45,A_CAV4,29.26,42.0,90.0,A_CAV,9.85,29.26,E4_2,0.0
0.45,A_CAV8,64.27,45.2,90.0,A_CAV,9.87,64.27,E4_3,0.0
0.45,A_CAV9,54.25,48.4,90.0,A_CAV,9.82,54.25,E4_4,0.0
0.45,E_CAV0.0,50.61,38.8,90.0,E_CAV,12.76,50.61,E4_1,0.0
0.45,E_CAV1.0,73.7,38.8,90.0,E_CAV,12.56,73.7,E4_1,0.0
0.45,E_CAV2.0,94.98,45.2,90.0,E_CAV,12.78,94.98,E4_3,0.0
0.45,E_CAV3.0,114.97,38.8,90.0,E_CAV,12.79,114.97,E4_1,0.0
0.45,E_CAV4.0,129.96,45.2,90.0,E_CAV,12.69,129.96,E4_3,0.0
0.5,A_CAV0,19.77,35.6,90.0,A_CAV,9.96,19.77,E4_0,0.0
0.5,A_CAV1,40.77,35.6,90.0,A_CAV,12.02,40.77,E4_0,0.0
0.5,A_CAV10,85.75,48.4,90.0,A_CAV,11.87,85.75,E4_4,0.0
0.5,A_CAV4,29.75,42.0,90.0,A_CAV,9.95,29.75,E4_2,0.0
0.5,A_CAV8,64.77,45.2,90.0,A_CAV,9.97,64.77,E4_3,0.0
0.5,A_CAV9,54.75,48.4,90.0,A_CAV,9.95,54.75,E4_4,0.0
0.5,E_CAV0.0,51.25,38.8,90.0,E_CAV,12.82,51.25,E4_1,0.0
0.5,E_CAV1.0,74.34,38.8,90.0,E_CAV,12.67,74.34,E4_1,0.0
0.5,E_CAV2.0,95.63,45.2,90.0,E_CAV,12.88,95.63,E4_3,0.0
0.5,E_CAV3.0,115.62,38.8,90.0,E_CAV,12.86,115.62,E4_1,0.0
0.5,E_CAV4.0,130.6,45.2,90.0,E_CAV,12.79,130.6,E4_3,0.0
0.55,A_CAV0,20.27,35.6,90.0,A_CAV,10.06,20.27,E4_0,0.0
0.55,A_CAV1,41.38,35.6,90.0,A_CAV,12.15,41.38,E4_0,0.0
0.55,A_CAV10,86.35,48.4,90.0,A_CAV,11.98,86.35,E4_4,0.0
0.55,A_CAV4,30.26,42.0,90.0,A_CAV,10.04,30.26,E4_2,0.0
0.55,A_CAV8,65.27,45.2,90.0,A_CAV,10.06,65.27,E4_3,0.0
0.55,A_CAV9,55.25,48.4,90.0,A_CAV,10.06,55.25,E4_4,0.0
0.55,E_CAV0.0,51.89,38.8,90.0,E_CAV,12.89,51.89,E4_1,0.0
0.55,E_CAV1.0,74.97,38.8,90.0,E_CAV,12.79,74.97,E4_1,0.0
0.55,E_CAV2.0,96.28,45.2,90.0,E_CAV,12.99,96.28,E4_3,0.0
0.55,E_CAV3.0,116.26,38.8,90.0,E_CAV,12.97,116.26,E4_1,0.0
0.55,E_CAV4.0,131.24,45.2,90.0,E_CAV,12.86,131.24,E4_3,0.0
0.6,A_CAV0,20.78,35.6,90.0,A_CAV,10.15,20.78,E4_0,0.0
0.6,A_CAV1,41.99,35.6,90.0,A_CAV,12.26,41.99,E4_0,0.0
0.6,A_CAV10,86.95,48.4,90.0,A_CAV,12.09,86.95,E4_4,0.0
0.6,A_CAV4,30.76,42.0,90.0,A_CAV,10.14,30.76,E4_2,0.0
0.6,A_CAV8,65.78,45.2,90.0,A_CAV,10.19,65.78,E4_3,0.0
0.6,A_CAV9,55.76,48.4,90.0,A_CAV,10.16,55.76,E4_4,0.0
0.6,E_CAV0.0,52.54,38.8,90.0,E_CAV,12.95,52.54,E4_1,0.0
0.6,E_CAV1.0,75.62,38.8,90.0,E_CAV,12.91,75.62,E4_1,0.0
0.6,E_CAV2.0,96.93,45.2,90.0,E_CAV,13.09,96.93,E4_3,0.0
0.6,E_CAV3.0,116.92,38.8,90.0,E_CAV,13.07,116.92,E4_1,0.0
0.6,E_CAV4.0,131.89,45.2,90.0,E_CAV,12.93,131.89,E4_3,0.0
0.65,A_CAV0,21.29,35.6,90.0,A_CAV,10.22,21.29,E4_0,0.0
0.65,A_CAV1,42.61,35.6,90.0,A_CAV,12.33,42.61,E4_0,0.0
0.65,A_CAV10,87.56,48.4,90.0,A_CAV,12.17,87.56,E4_4,0.0
0.65,A_CAV4,31.28,42.0,90.0,A_CAV,10.21,31.28,E4_2,0.0
0.65,A_CAV8,66.29,45.2,90.0,A_CAV,10.27,66.29,E4_3,0.0
0.65,A_CAV9,56.27,48.4,90.0,A_CAV,10.24,56.27,E4_4,0.0
0.65,E_CAV0.0,53.19,38.8,90.0,E_CAV,13.01,53.19,E4_1,0.0
0.65,E_CAV1.0,76.27,38.8,90.0,E_CAV,12.99,76.27,E4_1,0.0
0.65,E_CAV2.0,97.59,45.2,90.0,E_CAV,13.18,97.59,E4_3,0.0
0.65,E_CAV3.0,117.58,38.8,90.0,E_CAV,13.17,117.58,E4_1,0.0
0.65,E_CAV4.0,132.54,45.2,90.0,E_CAV,13.05,132.54,E4_3,0.0
0.7,A_CAV0,21.81,35.6,90.0,A_CAV,10.33,21.81,E4_0,0.0
0.7,A_CAV1,43.23,35.6,90.0,A_CAV,12.4,43.23,E4_0,0.0
0.7,A_CAV10,88.18,48.4,90.0,A_CAV,12.26,88.18,E4_4,0.0
0.7,A_CAV4,31.79,42.0,90.0,A_CAV,10.28,31.79,E4_2,0.0
0.7,A_CAV8,66.81,45.2,90.0,A_CAV,10.34,66.81,E4_3,0.0
0.7,A_CAV9,56.79,48.4,90.0,A_CAV,10.34,56.79,E4_4,0.0
0.7,E_CAV0.0,53.85,38.8,90.0,E_CAV,13.13,53.85,E4_1,0.0
0.7,E_CAV1.0,76.93,38.8,90.0,E_CAV,13.12,76.93,E4_1,0.0
0.7,E_CAV2.0,98.25,45.2,90.0,E_CAV,13.26,98.25,E4_3,0.0
0.7,E_CAV3.0,118.24,38.8,90.0,E_CAV,13.27,118.24,E4_1,0.0
0.7,E_CAV4.0,133.2,45.2,90.0,E_CAV,13.17,133.2,E4_3,0.0
0.75,A_CAV0,22.33,35.6,90.0,A_CAV,10.44,22.33,E4_0,0.0
0.75,A_CAV1,43.85,35.6,90.0,A_CAV,12.5,43.85,E4_0,0.0
0.75,A_CAV10,88.79,48.4,90.0,A_CAV,12.34,88.79,E4_4,0.0
0.75,A_CAV4,32.31,42.0,90.0,A_CAV,10.37,32.31,E4_2,0.0
0.75,A_CAV8,67.33,45.2,90.0,A_CAV,10.44,67.33,E4_3,0.0
0.75,A_CAV9,57.31,48.4,90.0,A_CAV,10.45,57.31,E4_4,0.0
0.75,E_CAV0.0,54.51,38.8,90.0,E_CAV,13.19,54.51,E4_1,0.0
0.75,E_CAV1.0,77.59,38.8,90.0,E_CAV,13.19,77.59,E4_1,0.0
0.75,E_CAV2.0,98.92,45.2,90.0,E_CAV,13.34,98.92,E4_3,0.0
0.75,E_CAV3.0,118.91,38.8,90.0,E_CAV,13.35,118.91,E4_1,0.0
0.75,E_CAV4.0,133.86,45.2,90.0,E_CAV,13.24,133.86,E4_3,0.0
0.8,A_CAV0,22.86,35.6,90.0,A_CAV,10.55,22.86,E4_0,0.0
0.8,A_CAV1,44.48,35.6,90.0,A_CAV,12.63,44.48,E4_0,0.0
0.8,A_CAV10,89.42,48.4,90.0,A_CAV,12.46,89.42,E4_4,0.0
0.8,A_CAV4,32.83,42.0,90.0,A_CAV,10.44,32.83,E4_2,0.0
0.8,A_CAV8,67.86,45.2,90.0,A_CAV,10.51,67.86,E4_3,0.0
0.8,A_CAV9,57.84,48.4,90.0,A_CAV,10.52,57.84,E4_4,0.0
0.8,E_CAV0.0,55.17,38.8,90.0,E_CAV,13.25,55.17,E4_1,0.0
0.8,E_CAV1.0,78.25,38.8,90.0,E_CAV,13.27,78.25,E4_1,0.0
0.8,E_CAV2.0,99.59,45.2,90.0,E_CAV,13.43,99.59,E4_3,0.0
0.8,E_CAV3.0,119.58,38.8,90.0,E_CAV,13.42,119.58,E4_1,0.0
0.8,E_CAV4.0,134.52,45.2,90.0,E_CAV,13.23,134.52,E4_3,0.0
0.85,A_CAV0,23.39,35.6,90.0,A_CAV,10.67,23.39,E4_0,0.0
0.85,A_CAV1,45.12,35.6,90.0,A_CAV,12.71,45.12,E4_0,0.0
0.85,A_CAV10,90.04,48.4,90.0,A_CAV,12.53,90.04,E4_4,0.0
0.85,A_CAV4,33.36,42.0,90.0,A_CAV,10.54,33.36,E4_2,0.0
0.85,A_CAV8,68.39,45.2,90.0,A_CAV,10.63,68.39,E4_3,0.0
0.85,A_CAV9,58.37,48.4,90.0,A_CAV,10.6,58.37,E4_4,0.0
0.85,E_CAV0.0,55.83,38.8,90.0,E_CAV,13.32,55.83,E4_1,0.0
0.85,E_CAV1.0,78.92,38.8,90.0,E_CAV,13.36,78.92,E4_1,0.0
0.85,E_CAV2.0,100.27,45.2,90.0,E_CAV,13.5,100.27,E4_3,0.0
0.85,E_CAV3.0,120.26,38.8,90.0,E_CAV,13.54,120.26,E4_1,0.0
0.85,E_CAV4.0,135.19,45.2,90.0,E_CAV,13.27,135.19,E4_3,0.0
0.9,A_CAV0,23.93,35.6,90.0,A_CAV,10.8,23.93,E4_0,0.0
0.9,A_CAV1,45.76,35.6,90.0,A_CAV,12.77,45.76,E4_0,0.0
0.9,A_CAV10,90.67,48.4,90.0,A_CAV,12.64,90.67,E4_4,0.0
0.9,A_CAV4,33.89,42.0,90.0,A_CAV,10.64,33.89,E4_2,0.0
0.9,A_CAV8,68.92,45.2,90.0,A_CAV,10.74,68.92,E4_3,0.0
0.9,A_CAV9,58.9,48.4,90.0,A_CAV,10.72,58.9,E4_4,0.0
0.9,E_CAV0.0,56.5,38.8,90.0,E_CAV,13.39,56.5,E4_1,0.0
0.9,E_CAV1.0,79.59,38.8,90.0,E_CAV,13.49,79.59,E4_1,0.0
0.9,E_CAV2.0,100.95,45.2,90.0,E_CAV,13.62,100.95,E4_3,0.0
0.9,E_CAV3.0,120.94,38.8,90.0,E_CAV,13.62,120.94,E4_1,0.0
0.9,E_CAV4.0,135.85,45.2,90.0,E_CAV,13.29,135.85,E4_3,0.0
0.95,A_CAV0,24.48,35.6,90.0,A_CAV,10.91,24.48,E4_0,0.0
0.95,A_CAV1,46.4,35.6,90.0,A_CAV,12.86,46.4,E4_0,0.0
0.95,A_CAV10,91.31,48.4,90.0,A_CAV,12.68,91.31,E4_4,0.0
0.95,A_CAV4,34.42,42.0,90.0,A_CAV,10.73,34.42,E4_2,0.0
0.95,A_CAV8,69.47,45.2,90.0,A_CAV,10.86,69.47,E4_3,0.0
0.95,A_CAV9,59.44,48.4,90.0,A_CAV,10.8,59.44,E4_4,0.0
0.95,E_CAV0.0,57.18,38.8,90.0,E_CAV,13.48,57.18,E4_1,0.0
0.95,E_CAV1.0,80.27,38.8,90.0,E_CAV,13.59,80.27,E4_1,0.0
0.95,E_CAV2.0,101.63,45.2,90.0,E_CAV,13.71,101.63,E4_3,0.0
0.95,E_CAV3.0,121.62,38.8,90.0,E_CAV,13.71,121.62,E4_1,0.0
0.95,E_CAV4.0,136.51,45.2,90.0,E_CAV,13.25,136.51,E4_3,0.0
1.0,A_CAV0,25.03,35.6,90.0,A_CAV,11.03,25.03,E4_0,0.0
1.0,A_CAV1,47.05,35.6,90.0,A_CAV,12.98,47.05,E4_0,0.0
1.0,A_CAV10,91.94,48.4,90.0,A_CAV,12.65,91.94,E4_4,0.0
1.0,A_CAV4,34.97,42.0,90.0,A_CAV,10.85,34.97,E4_2,0.0
1.0,A_CAV8,70.01,45.2,90.0,A_CAV,10.95,70.01,E4_3,0.0
1.0,A_CAV9,59.99,48.4,90.0,A_CAV,10.91,59.99,E4_4,0.0
1.0,E_CAV0.0,57.85,38.8,90.0,E_CAV,13.55,57.85,E4_1,0.0
1.0,E_CAV1.0,80.95,38.8,90.0,E_CAV,13.67,80.95,E4_1,0.0
1.0,E_CAV2.0,102.32,45.2,90.0,E_CAV,13.81,102.32,E4_3,0.0
1.0,E_CAV3.0,122.31,38.8,90.0,E_CAV,13.8,122.31,E4_1,0.0
1.0,E_CAV4.0,137.18,45.2,90.0,E_CAV,13.28,137.18,E4_3,0.0
1.05,A_CAV0,25.59,35.6,90.0,A_CAV,11.1,25.59,E4_0,0.0
1.05,A_CAV1,47.7,35.6,90.0,A_CAV,13.08,47.7,E4_0,0.0
1.05,A_CAV10,92.57,48.4,90.0,A_CAV,12.67,92.57,E4_4,0.0
1.05,A_CAV4,35.52,42.0,90.0,A_CAV,10.95,35.52,E4_2,0.0
1.05,A_CAV8,70.57,45.2,90.0,A_CAV,11.04,70.57,E4_3,0.0
1.05,A_CAV9,60.54,48.4,90.0,A_CAV,10.99,60.54,E4_4,0.0
1.05,E_CAV0.0,58.54,38.8,90.0,E_CAV,13.62,58.54,E4_1,0.0
1.05,E_CAV1.0,81.64,38.8,90.0,E_CAV,13.74,81.64,E4_1,0.0
1.05,E_CAV2.0,103.02,45.2,90.0,E_CAV,13.94,103.02,E4_3,0.0
1.05,E_CAV3.0,123.01,38.8,90.0,E_CAV,13.9,123.01,E4_1,0.0
1.05,E_CAV4.0,137.84,45.2,90.0,E_CAV,13.28,137.84,E4_3,0.0
1.1,A_CAV0,26.15,35.6,90.0,A_CAV,11.21,26.15,E4_0,0.0
1.1,A_CAV1,48.36,35.6,90.0,A_CAV,13.2,48.36,E4_0,0.0
1.1,A_CAV10,93.21,48.4,90.0,A_CAV,12.68,93.21,E4_4,0.0
1.1,A_CAV4,36.07,42.0,90.0,A_CAV,11.04,36.07,E4_2,0.0
1.1,A_CAV8,71.12,45.2,90.0,A_CAV,11.13,71.12,E4_3,0.0
1.1,A_CAV9,61.09,48.4,90.0,A_CAV,11.07,61.09,E4_4,0.0
1.1,E_CAV0.0,59.22,38.8,90.0,E_CAV,13.67,59.22,E4_1,0.0
1.1,E_CAV1.0,82.33,38.8,90.0,E_CAV,13.85,82.33,E4_1,0.0
1.1,E_CAV2.0,103.72,45.2,90.0,E_CAV,14.02,103.72,E4_3,0.0
1.1,E_CAV3.0,123.71,38.8,90.0,E_CAV,14.03,123.71,E4_1,0.0
1.1,E_CAV4.0,138.5,45.2,90.0,E_CAV,13.25,138.5,E4_3,0.0
1.15,A_CAV0,26.71,35.6,90.0,A_CAV,11.31,26.71,E4_0,0.0
1.15,A_CAV1,49.03,35.6,90.0,A_CAV,13.32,49.03,E4_0,0.0
1.15,A_CAV10,93.84,48.4,90.0,A_CAV,12.63,93.84,E4_4,0.0
1.15,A_CAV4,36.62,42.0,90.0,A_CAV,11.11,36.62,E4_2,0.0
1.15,A_CAV8,71.68,45.2,90.0,A_CAV,11.23,71.68,E4_3,0.0
1.15,A_CAV9,61.65,48.4,90.0,A_CAV,11.2,61.65,E4_4,0.0
1.15,E_CAV0.0,59.91,38.8,90.0,E_CAV,13.76,59.91,E4_1,0.0
1.15,E_CAV1.0,83.03,38.8,90.0,E_CAV,13.93,83.03,E4_1,0.0
1.15,E_CAV2.0,104.43,45.2,90.0,E_CAV,14.12,104.43,E4_3,0.0
1.15,E_CAV3.0,124.42,38.8,90.0,E_CAV,14.15,124.42,E4_1,0.0
1.15,E_CAV4.0,139.16,45.2,90.0,E_CAV,13.23,139.16,E4_3,0.0
1.2,A_CAV0,27.28,35.6,90.0,A_CAV,11.38,27.28,E4_0,0.0
1.2,A_CAV1,49.7,35.6,90.0,A_CAV,13.43,49.7,E4_0,0.0
1.2,A_CAV10,94.47,48.4,90.0,A_CAV,12.68,94.47,E4_4,0.0
1.2,A_CAV4,37.18,42.0,90.0,A_CAV,11.23,37.18,E4_2,0.0
1.2,A_CAV8,72.25,45.2,90.0,A_CAV,11.32,72.25,E4_3,0.0
1.2,A_CAV9,62.22,48.4,90.0,A_CAV,11.32,62.22,E4_4,0.0
1.2,E_CAV0.0,60.6,38.8,90.0,E_CAV,13.82,60.6,E4_1,0.0
1.2,E_CAV1.0,83.73,38.8,90.0,E_CAV,14.01,83.73,E4_1,0.0
1.2,E_CAV2.0,105.14,45.2,90.0,E_CAV,14.22,105.14,E4_3,0.0
1.2,E_CAV3.0,125.13,38.8,90.0,E_CAV,14.27,125.13,E4_1,0.0
1.2,E_CAV4.0,139.83,45.2,90.0,E_CAV,13.29,139.83,E4_3,0.0
1.25,A_CAV0,27.85,35.6,90.0,A_CAV,11.47,27.85,E4_0,0.0
1.25,A_CAV1,50.38,35.6,90.0,A_CAV,13.55,50.38,E4_0,0.0
1.25,A_CAV10,95.11,48.4,90.0,A_CAV,12.67,95.11,E4_4,0.0
1.25,A_CAV4,37.75,42.0,90.0,A_CAV,11.32,37.75,E4_2,0.0
1.25,A_CAV8,72.82,45.2,90.0,A_CAV,11.42,72.82,E4_3,0.0
1.25,A_CAV9,62.79,48.4,90.0,A_CAV,11.39,62.79,E4_4,0.0
1.25,E_CAV0.0,61.29,38.8,90.0,E_CAV,13.89,61.29,E4_1,0.0
1.25,E_CAV1.0,84.44,38.8,90.0,E_CAV,14.14,84.44,E4_1,0.0
1.25,E_CAV2.0,105.86,45.2,90.0,E_CAV,14.34,105.86,E4_3,0.0
1.25,E_CAV3.0,125.85,38.8,90.0,E_CAV,14.34,125.85,E4_1,0.0
1.25,E_CAV4.0,140.49,45.2,90.0,E_CAV,13.24,140.49,E4_3,0.0
1.3,A_CAV0,28.43,35.6,90.0,A_CAV,11.56,28.43,E4_0,0.0
1.3,A_CAV1,51.06,35.6,90.0,A_CAV,13.64,51.06,E4_0,0.0
1.3,A_CAV10,95.74,48.4,90.0,A_CAV,12.65,95.74,E4_4,0.0
1.3,A_CAV4,38.32,42.0,90.0,A_CAV,11.45,38.32,E4_2,0.0
1.3,A_CAV8,73.4,45.2,90.0,A_CAV,11.52,73.4,E4_3,0.0
1.3,A_CAV9,63.36,48.4,90.0,A_CAV,11.47,63.36,E4_4,0.0
1.3,E_CAV0.0,61.99,38.8,90.0,E_CAV,13.96,61.99,E4_1,0.0
1.3,E_CAV1.0,85.15,38.8,90.0,E_CAV,14.21,85.15,E4_1,0.0
1.3,E_CAV2.0,106.58,45.2,90.0,E_CAV,14.41,106.58,E4_3,0.0
1.3,E_CAV3.0,126.57,38.8,90.0,E_CAV,14.42,126.57,E4_1,0.0
1.3,E_CAV4.0,141.15,45.2,90.0,E_CAV,13.24,141.15,E4_3,0.0
1.35,A_CAV0,29.01,35.6,90.0,A_CAV,11.63,29.01,E4_0,0.0
1.35,A_CAV1,51.75,35.6,90.0,A_CAV,13.72,51.75,E4_0,0.0
1.35,A_CAV10,96.37,48.4,90.0,A_CAV,12.65,96.37,E4_4,0.0
1.35,A_CAV4,38.9,42.0,90.0,A_CAV,11.55,38.9,E4_2,0.0
1.35,A_CAV8,73.98,45.2,90.0,A_CAV,11.64,73.98,E4_3,0.0
1.35,A_CAV9,63.94,48.4,90.0,A_CAV,11.54,63.94,E4_4,0.0
